Benchmark                          (amountOfCores)   Mode  Cnt         Score        Error  Units
ParallelStreamBench.largeTest                  N/A  thrpt   25         0.391 ±      0.028  ops/s
ParallelStreamBench.smallTest                  N/A  thrpt   25      1233.647 ±      0.971  ops/s
ParallelStreamBench.smallerTest                N/A  thrpt   25    285269.837 ±   7794.280  ops/s
ParallelThreadsBench.largeTest                   1  thrpt   25         0.070 ±      0.001  ops/s
ParallelThreadsBench.largeTest                   2  thrpt   25         0.139 ±      0.001  ops/s
ParallelThreadsBench.largeTest                   3  thrpt   25         0.209 ±      0.001  ops/s
ParallelThreadsBench.largeTest                   4  thrpt   25         0.263 ±      0.001  ops/s
ParallelThreadsBench.largeTest                   5  thrpt   25         0.304 ±      0.001  ops/s
ParallelThreadsBench.largeTest                   6  thrpt   25         0.345 ±      0.001  ops/s
ParallelThreadsBench.largeTest                   7  thrpt   25         0.345 ±      0.001  ops/s
ParallelThreadsBench.largeTest                   8  thrpt   25         0.345 ±      0.001  ops/s
ParallelThreadsBench.largeTest                   9  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  10  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  11  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  12  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  13  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  14  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  15  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  16  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  18  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  20  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  22  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  24  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  28  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  32  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  36  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.largeTest                  40  thrpt   25         0.346 ±      0.001  ops/s
ParallelThreadsBench.smallTest                   1  thrpt   25       123.323 ±      9.566  ops/s
ParallelThreadsBench.smallTest                   2  thrpt   25       226.107 ±      6.444  ops/s
ParallelThreadsBench.smallTest                   3  thrpt   25       334.719 ±      6.859  ops/s
ParallelThreadsBench.smallTest                   4  thrpt   25       466.178 ±     13.238  ops/s
ParallelThreadsBench.smallTest                   5  thrpt   25       596.496 ±     13.092  ops/s
ParallelThreadsBench.smallTest                   6  thrpt   25       758.335 ±     14.672  ops/s
ParallelThreadsBench.smallTest                   7  thrpt   25       956.848 ±      0.715  ops/s
ParallelThreadsBench.smallTest                   8  thrpt   25       957.326 ±      0.667  ops/s
ParallelThreadsBench.smallTest                   9  thrpt   25       950.238 ±      0.594  ops/s
ParallelThreadsBench.smallTest                  10  thrpt   25       943.444 ±      0.342  ops/s
ParallelThreadsBench.smallTest                  11  thrpt   25       931.136 ±      0.615  ops/s
ParallelThreadsBench.smallTest                  12  thrpt   25       918.860 ±      0.897  ops/s
ParallelThreadsBench.smallTest                  13  thrpt   25       854.952 ±      0.579  ops/s
ParallelThreadsBench.smallTest                  14  thrpt   25       808.563 ±      0.514  ops/s
ParallelThreadsBench.smallTest                  15  thrpt   25       771.188 ±      0.548  ops/s
ParallelThreadsBench.smallTest                  16  thrpt   25       736.068 ±      0.662  ops/s
ParallelThreadsBench.smallTest                  18  thrpt   25       676.071 ±      0.837  ops/s
ParallelThreadsBench.smallTest                  20  thrpt   25       623.331 ±      0.896  ops/s
ParallelThreadsBench.smallTest                  22  thrpt   25       577.514 ±      0.964  ops/s
ParallelThreadsBench.smallTest                  24  thrpt   25       537.855 ±      0.893  ops/s
ParallelThreadsBench.smallTest                  28  thrpt   25       471.637 ±      1.286  ops/s
ParallelThreadsBench.smallTest                  32  thrpt   25       417.869 ±      1.171  ops/s
ParallelThreadsBench.smallTest                  36  thrpt   25       375.407 ±      1.005  ops/s
ParallelThreadsBench.smallTest                  40  thrpt   25       340.356 ±      1.349  ops/s
